energy,price
24532.0,54.66
23970.0,51.76
23860.0,50.98
24484.0,52.64
27208.0,59.14
31924.0,65.59
34663.0,72.96
35816.0,73.33
36311.0,75.76
36019.0,72.88
35435.0,72.28
35077.0,65.34
33577.0,63.99
32671.0,62.2
32546.0,61.55
32581.0,66.07
33186.0,74.77
35770.0,78.65
36189.0,79.81
35457.0,75.22
33186.0,66.65
30512.0,62.88
28183.0,60.52
26017.0,54.57
24462.0,52.21
23533.0,50.07
23191.0,48.31
23150.0,50.01
23686.0,48.78
24954.0,47.73
26445.0,47.76
29591.0,53.12
31843.0,56.4
32341.0,54.33
32040.0,48.42
31938.0,49.74
30823.0,43.76
29553.0,29.81
28642.0,24.69
28375.0,30.72
29163.0,42.12
31925.0,50.33
32991.0,54.18
32920.0,51.86
31303.0,45.47
29201.0,40.91
26919.0,28.01
24723.0,25.86
23109.0,21.32
22234.0,23.02
21878.0,20.99
21910.0,21.0
22388.0,21.7
22971.0,25.12
23343.0,28.43
25656.0,28.0
27642.0,29.18
28597.0,28.33
28389.0,26.19
28505.0,26.53
28020.0,23.29
26909.0,18.73
26170.0,18.89
25759.0,18.9
26799.0,38.77
30165.0,57.56
31950.0,63.78
32213.0,60.32
30994.0,55.86
28681.0,41.03
25948.0,37.23
24048.0,23.88
22915.0,18.34
22440.0,17.71
22510.0,17.69
23267.0,19.9
26321.0,37.72
31107.0,46.04
33902.0,51.37
35310.0,62.07
35807.0,68.1
35837.0,63.72
35446.0,62.3
35362.0,55.5
34148.0,42.98
33477.0,42.58
33156.0,42.9
33203.0,45.69
33574.0,52.72
36340.0,64.5
37118.0,65.02
36279.0,56.52
33557.0,42.56
30381.0,39.27
28105.0,25.38
26059.0,18.21
24874.0,17.19
24419.0,17.73
24269.0,17.52
25027.0,17.42
27577.0,31.26
32133.0,43.28
34669.0,45.25
35776.0,51.94
36052.0,51.02
35984.0,47.17
35764.0,45.18
35659.0,41.87
34328.0,39.88
33702.0,40.17
33377.0,40.28
33580.0,42.81
34086.0,57.2
36729.0,68.69
37783.0,73.26
36718.0,65.25
34031.0,53.6
30729.0,47.73
28187.0,43.03
26092.0,37.56
24805.0,31.11
24489.0,23.86
24564.0,23.69
24994.0,27.47
27809.0,37.5
32069.0,52.3
34500.0,53.59
35763.0,61.12
35928.0,60.95
35730.0,56.81
35394.0,55.46
35428.0,49.11
34110.0,42.69
33481.0,42.24
33139.0,47.78
33159.0,51.75
33441.0,61.64
36177.0,71.53
37158.0,73.11
36245.0,62.27
33674.0,51.75
30554.0,51.41
28205.0,45.32
26102.0,37.72
24884.0,34.11
24385.0,32.83
24344.0,32.45
24834.0,33.47
27341.0,42.98
31381.0,51.4
33654.0,59.54
34716.0,63.24
34920.0,67.12
34666.0,62.73
34502.0,61.92
34530.0,57.57
33320.0,53.8
32726.0,52.91
32443.0,55.69
32528.0,56.59
32740.0,68.7
35354.0,79.19
36131.0,75.78
35306.0,68.65
32844.0,58.94
29860.0,55.47
27464.0,53.11
25775.0,40.36
24556.0,35.67
24159.0,34.58
24227.0,34.95
24623.0,36.71
26964.0,39.88
30783.0,53.74
